Year,Month,Appendix,Total_Records,Error_Records,Error_Rate_%,Most_Common_Error,Most_Common_Count
2009,5,PL9,25,25,100.0,space_in_word,25
2009,5,PL6b,65,65,100.0,space_in_word,65
2009,5,PL6a,18,18,100.0,space_in_word,18
2009,5,PL5,223,223,100.0,space_in_word,223
2009,5,PL4,272,272,100.0,space_in_word,272
2009,5,PL3,157,157,100.0,space_in_word,157
2009,5,PL2,194,194,100.0,space_in_word,194
2009,9,PL3,134,134,100.0,space_in_word,134
2009,9,PL2,197,197,100.0,space_in_word,197
2009,9,PL1,12,12,100.0,typo_spacing,12
2009,8,PL9,35,35,100.0,space_in_word,35
2009,8,PL6b,72,72,100.0,space_in_word,72
2009,8,PL6a,16,16,100.0,space_in_word,16
2009,8,PL5,237,237,100.0,space_in_word,237
2009,8,PL4,225,225,100.0,space_in_word,225
2009,8,PL3,134,134,100.0,space_in_word,134
2009,8,PL2,203,203,100.0,space_in_word,203
2009,8,PL1,13,13,100.0,typo_spacing,13
2009,7,PL9,34,34,100.0,space_in_word,34
2009,7,PL6b1,16,16,100.0,space_in_word,16
2009,7,PL5,227,227,100.0,space_in_word,227
2009,7,PL4,210,210,100.0,space_in_word,210
2009,7,PL3,164,164,100.0,space_in_word,164
2009,11,PL2,268,268,100.0,space_in_word,268
2009,11,PL12,50,50,100.0,typo_spacing,50
2009,11,PL11,30,30,100.0,typo_spacing,30
2009,11,PL1,14,14,100.0,space_in_word,14
2009,10,PL9,36,36,100.0,space_in_word,36
2009,10,PL6,80,80,100.0,space_in_word,80
2009,10,PL5,40,40,100.0,only_numbers,40
2009,10,PL4,244,244,100.0,space_in_word,244
2009,10,PL3,186,186,100.0,space_in_word,186
2009,10,PL2,230,230,100.0,space_in_word,230
2009,10,PL1,18,18,100.0,typo_spacing,18
2009,9,PL9,36,36,100.0,space_in_word,36
2009,9,PL6b,74,74,100.0,space_in_word,74
2009,9,PL6a,16,16,100.0,space_in_word,16
2009,9,PL5,244,244,100.0,space_in_word,244
2009,9,PL4,265,265,100.0,space_in_word,265
2010,1,PL5,172,172,100.0,typo_spacing,172
2010,1,PL4,229,229,100.0,typo_spacing,229
2010,1,PL3,193,193,100.0,space_in_word,193
2010,1,PL2,91,91,100.0,space_in_word,91
2010,1,PL1,16,16,100.0,typo_spacing,16
2009,12,PL9,12,12,100.0,space_in_word,12
2009,12,PL5,2,2,100.0,space_in_word,2
2009,12,PL4,2,2,100.0,multiple_spaces,2
2009,12,PL3,138,138,100.0,typo_spacing,138
2009,12,PL13,36,36,100.0,space_in_word,36
2009,12,PL10,49,49,100.0,space_in_word,49
2009,12,PL1,7,7,100.0,space_in_word,7
2009,11,PL6,12,12,100.0,space_in_word,12
2009,11,PL5,40,40,100.0,only_numbers,40
2009,11,PL4,244,244,100.0,space_in_word,244
2009,11,PL3,231,231,100.0,space_in_word,231
2010,3,PL2a,161,161,100.0,space_in_word,161
2010,3,PL1,13,13,100.0,typo_spacing,13
2010,2,PL6c,80,80,100.0,space_in_word,80
2010,2,PL6b,85,85,100.0,space_in_word,85
2010,2,PL6a,24,24,100.0,space_in_word,24
2010,2,PL5,30,30,100.0,space_in_word,30
2010,2,PL4,24,24,100.0,only_numbers,24
2010,2,PL3b,194,194,100.0,space_in_word,194
2010,2,PL3a,138,138,100.0,space_in_word,138
2010,2,PL2b,163,163,100.0,typo_spacing,163
2010,2,PL1,20,20,100.0,typo_spacing,20
2010,1,PL9,23,23,100.0,space_in_word,23
2010,1,PL8b,93,93,100.0,space_in_word,93
2010,1,PL8a,42,42,100.0,space_in_word,42
2010,1,PL8,310,310,100.0,space_in_word,310
2010,1,PL6,16,16,100.0,space_in_word,16
2010,4,PL9a,91,91,100.0,space_in_word,91
2010,4,PL6,75,75,100.0,space_in_word,75
2010,4,PL5,36,36,100.0,only_numbers,30
2010,4,PL4b,38,38,100.0,only_numbers,29
2010,4,PL4a,30,30,100.0,only_numbers,30
2010,4,PL3b,194,194,100.0,space_in_word,194
2010,4,PL3a,158,158,100.0,space_in_word,158
2010,4,PL2b,246,246,100.0,space_in_word,246
2010,4,PL2a,173,173,100.0,space_in_word,173
2010,4,PL1,11,11,100.0,typo_spacing,11
2010,3,PL6c,105,105,100.0,space_in_word,105
2010,3,PL6a,32,32,100.0,space_in_word,32
2010,3,PL4,40,40,100.0,only_numbers,40
2010,3,PL3b,196,196,100.0,space_in_word,196
2010,3,PL3a,149,149,100.0,space_in_word,149
2010,6,PL3a,259,259,100.0,typo_spacing,259
2010,6,PL2b,245,245,100.0,space_in_word,245
2010,6,PL2a,278,278,100.0,space_in_word,278
2010,6,PL1,24,24,100.0,typo_spacing,24
2010,5,PL9b,65,65,100.0,space_in_word,65
2010,5,PL9a,88,88,100.0,space_in_word,88
2010,5,PL6,75,75,100.0,space_in_word,75
2010,5,PL5,36,36,100.0,only_numbers,30
2010,5,PL4b,90,90,100.0,only_numbers,74
2010,5,PL4a,40,40,100.0,only_numbers,40
2010,5,PL3b,224,224,100.0,space_in_word,224
2010,5,PL3a,183,183,100.0,space_in_word,183
2010,5,PL2b,258,258,100.0,space_in_word,258
2010,5,PL2a,236,236,100.0,space_in_word,236
2010,5,PL1,13,13,100.0,typo_spacing,13
2010,4,PL9b,79,79,100.0,space_in_word,79
2010,8,PL1,11,11,100.0,typo_spacing,11
2010,7,PL9b,6,6,100.0,space_in_word,6
2010,7,PL9a,8,8,100.0,space_in_word,8
2010,7,PL4b,7,7,100.0,number_suffix,7
2010,7,PL4a,40,40,100.0,only_numbers,40
2010,7,PL3b,240,240,100.0,space_in_word,240
2010,7,PL3a,195,195,100.0,space_in_word,195
2010,7,PL2b,195,195,100.0,space_in_word,195
2010,7,PL2a,185,185,100.0,space_in_word,185
2010,7,PL1,12,12,100.0,typo_spacing,12
2010,6,PL9b,87,87,100.0,space_in_word,87
2010,6,PL9a,99,99,100.0,space_in_word,99
2010,6,PL5b,142,142,100.0,only_numbers,125
2010,6,PL5a,40,40,100.0,only_numbers,40
2010,6,PL4,2,2,100.0,space_in_word,2
2010,6,PL3b,237,237,100.0,typo_spacing,237
2010,10,PL3,167,167,100.0,space_in_word,167
2010,10,PL2,237,237,100.0,space_in_word,237
2010,10,PL1,18,18,100.0,typo_spacing,18
2010,9,PL9,2,2,100.0,space_in_word,2
2010,9,PL6,4,4,100.0,space_in_word,4
2010,9,PL5,243,243,100.0,space_in_word,243
2010,9,PL4,248,248,100.0,space_in_word,248
2010,9,PL3,196,196,100.0,space_in_word,196
2010,9,PL2,210,210,100.0,space_in_word,210
2010,9,PL1,23,23,100.0,typo_spacing,23
2010,8,PL9,33,33,100.0,space_in_word,33
2010,8,PL6,16,16,100.0,space_in_word,16
2010,8,PL5,240,240,100.0,space_in_word,240
2010,8,PL4,216,216,100.0,space_in_word,216
2010,8,PL3,195,195,100.0,space_in_word,195
2010,8,PL2,209,209,100.0,space_in_word,209
2010,12,PL2,6,6,100.0,multiple_spaces,6
2010,12,PL1,7,7,100.0,space_in_word,7
2010,11,PL9,35,35,100.0,space_in_word,35
2010,11,PL6,67,67,100.0,space_in_word,67
2010,11,PL5,40,40,100.0,only_numbers,40
2010,11,PL4,253,253,100.0,space_in_word,253
2010,11,PL3,203,203,100.0,space_in_word,203
2010,11,PL2,7,7,100.0,multiple_spaces,7
2010,11,PL12a,9,9,100.0,space_in_word,9
2010,11,PL11b,80,80,100.0,typo_spacing,80
2010,11,PL11a,89,89,100.0,typo_spacing,89
2010,11,PL1,8,8,100.0,space_in_word,8
2010,10,PL9,37,37,100.0,space_in_word,37
2010,10,PL6,59,59,100.0,space_in_word,59
2010,10,PL5,40,40,100.0,only_numbers,40
2010,10,PL4,238,238,100.0,space_in_word,238
2011,2,PL4,104,104,100.0,space_in_word,104
2011,2,PL3,210,210,100.0,space_in_word,210
2011,2,PL2,135,135,100.0,typo_spacing,135
2011,2,PL1,20,20,100.0,typo_spacing,20
2011,1,PL9,32,32,100.0,space_in_word,32
2011,1,PL8,425,425,100.0,space_in_word,425
2011,1,PL6,11,11,100.0,space_in_word,11
2011,1,PL5,188,188,100.0,space_in_word,188
2011,1,PL4,243,243,100.0,space_in_word,243
2011,1,PL3,96,96,100.0,space_in_word,96
2011,1,PL2,130,130,100.0,space_in_word,130
2011,1,PL1,16,16,100.0,typo_spacing,16
2010,12,PL9,12,12,100.0,space_in_word,12
2010,12,PL5,93,93,100.0,typo_spacing,93
2010,12,PL4,4,4,100.0,multiple_spaces,4
2010,12,PL3,3,3,100.0,multiple_spaces,3
2011,4,PL4,300,300,100.0,space_in_word,300
2011,4,PL3,167,167,100.0,space_in_word,167
2011,4,PL2,172,172,100.0,space_in_word,172
2011,4,PL13,78,78,100.0,space_in_word,78
2011,4,PL1,12,12,100.0,typo_spacing,12
2011,3,PL9,84,84,100.0,space_in_word,84
2011,3,PL6,16,16,100.0,space_in_word,16
2011,3,PL5,217,217,100.0,space_in_word,217
2011,3,PL4,219,219,100.0,space_in_word,219
2011,3,PL3,162,162,100.0,space_in_word,162
2011,3,PL2,162,162,100.0,space_in_word,162
2011,3,PL13,75,75,100.0,space_in_word,75
2011,3,PL1,14,14,100.0,typo_spacing,14
2011,2,PL9,33,33,100.0,space_in_word,33
2011,2,PL6,12,12,100.0,space_in_word,12
2011,2,PL5,223,223,100.0,space_in_word,223
2011,7,PL3,183,183,100.0,space_in_word,183
2011,7,PL2,180,180,100.0,space_in_word,180
2011,7,PL13,90,90,100.0,space_in_word,90
2011,7,PL1,11,11,100.0,typo_spacing,11
2011,6,PL9,12,12,100.0,space_in_word,12
2011,6,PL6,39,39,100.0,space_in_word,39
2011,6,PL5,8,8,100.0,multiple_spaces,8
2011,6,PL4,5,5,100.0,multiple_spaces,5
2011,6,PL3,7,7,100.0,multiple_spaces,7
2011,6,PL2,7,7,100.0,multiple_spaces,7
2011,6,PL13,34,34,100.0,space_in_word,34
2011,6,PL1,24,24,100.0,typo_spacing,24
2011,5,PL1,13,13,100.0,typo_spacing,13
2011,4,PL9,80,80,100.0,space_in_word,80
2011,4,PL6,32,32,100.0,space_in_word,32
2011,4,PL5,221,221,100.0,space_in_word,221
2011,9,PL3,185,185,100.0,space_in_word,185
2011,9,PL2,181,181,100.0,space_in_word,181
2011,9,PL13,33,33,100.0,space_in_word,33
2011,9,PL1,24,24,100.0,typo_spacing,24
2011,8,PL9,64,64,100.0,space_in_word,64
2011,8,PL6,16,16,100.0,space_in_word,16
2011,8,PL5,251,251,100.0,space_in_word,251
2011,8,PL4,290,290,100.0,space_in_word,290
2011,8,PL3,184,184,100.0,space_in_word,184
2011,8,PL2,178,178,100.0,space_in_word,178
2011,8,PL13,47,47,100.0,space_in_word,47
2011,8,PL1,20,20,100.0,typo_spacing,20
2011,7,PL9,70,70,100.0,space_in_word,70
2011,7,PL6,16,16,100.0,space_in_word,16
2011,7,PL5,249,249,100.0,space_in_word,249
2011,7,PL4,244,244,100.0,space_in_word,244
2011,11,PL2,9,9,100.0,multiple_spaces,9
2011,11,PL13,8,8,100.0,space_in_word,8
2011,11,PL12,291,291,100.0,typo_spacing,291
2011,11,PL1,9,9,100.0,space_in_word,9
2011,10,PL6,55,55,100.0,space_in_word,55
2011,10,PL5,21,21,100.0,only_numbers,21
2011,10,PL4,262,262,100.0,space_in_word,262
2011,10,PL3,197,197,100.0,space_in_word,197
2011,10,PL2,181,181,100.0,space_in_word,181
2011,10,PL13,33,33,100.0,space_in_word,33
2011,10,PL1,18,18,100.0,typo_spacing,18
2011,9,PL9,70,70,100.0,space_in_word,70
2011,9,PL6,16,16,100.0,space_in_word,16
2011,9,PL5,261,261,100.0,space_in_word,261
2011,9,PL4,209,209,100.0,space_in_word,209
2012,1,PL4,225,225,100.0,space_in_word,225
2012,1,PL3,135,135,100.0,space_in_word,135
2012,1,PL2,137,137,100.0,space_in_word,137
2012,1,PL1,8,8,100.0,typo_spacing,8
2011,12,PL9,12,12,100.0,space_in_word,12
2011,12,PL4,265,265,100.0,space_in_word,265
2011,12,PL3,240,240,100.0,space_in_word,240
2011,12,PL2,196,196,100.0,space_in_word,196
2011,12,PL13,84,84,100.0,space_in_word,84
2011,12,PL10,82,82,100.0,space_in_word,82
2011,12,PL1,12,12,100.0,space_in_word,12
2011,11,PL9,4,4,100.0,space_in_word,4
2011,11,PL6,58,58,100.0,space_in_word,58
2011,11,PL5,21,21,100.0,only_numbers,21
2011,11,PL4,266,266,100.0,space_in_word,266
2011,11,PL3,4,4,100.0,multiple_spaces,4
2012,3,PL6,16,16,100.0,space_in_word,16
2012,3,PL5,221,221,100.0,space_in_word,221
2012,3,PL4,172,172,100.0,space_in_word,172
2012,3,PL3,235,235,100.0,space_in_word,235
2012,3,PL2,176,176,100.0,space_in_word,176
2012,3,PL1,13,13,100.0,typo_spacing,13
2012,2,PL9,18,18,100.0,space_in_word,18
2012,2,PL6,12,12,100.0,space_in_word,12
2012,2,PL5,187,187,100.0,space_in_word,187
2012,2,PL4,178,178,100.0,space_in_word,178
2012,2,PL3,186,186,100.0,space_in_word,186
2012,2,PL2,167,167,100.0,space_in_word,167
2012,2,PL1,10,10,100.0,typo_spacing,10
2012,1,PL8,159,159,100.0,space_in_word,159
2012,1,PL6,5,5,100.0,space_in_word,5
2012,1,PL5,168,168,100.0,space_in_word,168
2012,6,PL2,8,8,100.0,multiple_spaces,8
2012,6,PL1,12,12,100.0,typo_spacing,12
2012,5,PL6,16,16,100.0,space_in_word,16
2012,5,PL5,231,231,100.0,space_in_word,231
2012,5,PL4,282,282,100.0,space_in_word,282
2012,5,PL3,189,189,100.0,space_in_word,189
2012,5,PL2,197,197,100.0,space_in_word,197
2012,5,PL1,13,13,100.0,typo_spacing,13
2012,4,PL9,35,35,100.0,space_in_word,35
2012,4,PL6,12,12,100.0,space_in_word,12
2012,4,PL5,221,221,100.0,space_in_word,221
2012,4,PL4,292,292,100.0,space_in_word,292
2012,4,PL3,180,180,100.0,space_in_word,180
2012,4,PL2,179,179,100.0,space_in_word,179
2012,4,PL1,1,1,100.0,number_prefix,1
2012,3,PL9,21,21,100.0,space_in_word,21
2012,8,PL9,38,38,100.0,space_in_word,38
2012,8,PL6,16,16,100.0,space_in_word,16
2012,8,PL5,237,237,100.0,space_in_word,237
2012,8,PL4,258,258,100.0,space_in_word,258
2012,8,PL3,198,198,100.0,space_in_word,198
2012,8,PL2,195,195,100.0,space_in_word,195
2012,8,PL1,10,10,100.0,typo_spacing,10
2012,7,PL6,16,16,100.0,space_in_word,16
2012,7,PL5,236,236,100.0,space_in_word,236
2012,7,PL4,227,227,100.0,space_in_word,227
2012,7,PL3,198,198,100.0,space_in_word,198
2012,7,PL2,294,294,100.0,space_in_word,294
2012,7,PL1,1,1,100.0,number_prefix,1
2012,6,PL9,28,28,100.0,space_in_word,28
2012,6,PL6,16,16,100.0,space_in_word,16
2012,6,PL3,7,7,100.0,multiple_spaces,7
2008,6,Actual,1,1,100.0,number_in_middle,1
2012,12,PL6,26,26,100.0,space_in_word,26
2012,12,PL5,79,79,100.0,space_in_word,79
2012,12,PL4,54,54,100.0,typo_spacing,54
2012,12,PL3,165,165,100.0,space_in_word,165
2012,12,PL2,184,184,100.0,typo_spacing,184
2012,12,PL10,24,24,100.0,space_in_word,24
2012,12,PL1,6,6,100.0,space_in_word,6
2012,11,PL9,10,10,100.0,space_in_word,10
2012,11,PL6,16,16,100.0,space_in_word,16
2012,11,PL3,214,214,100.0,space_in_word,214
2012,11,PL2,253,253,100.0,space_in_word,253
2012,11,PL12,25,25,100.0,space_in_word,25
2012,11,PL11c,140,140,100.0,typo_spacing,140
2012,11,PL11b,169,169,100.0,typo_spacing,169
2012,11,PL11,134,134,100.0,typo_spacing,134
2009,2,PL5,153,153,100.0,space_in_word,153
2009,2,PL4,160,160,100.0,space_in_word,160
2009,2,PL3,134,134,100.0,space_in_word,134
2009,2,PL2,177,177,100.0,space_in_word,177
2009,2,PL1,20,20,100.0,typo_spacing,20
2009,1,PL8b,268,268,100.0,space_in_word,268
2009,1,PL8a,282,282,100.0,space_in_word,282
2009,1,PL8,471,471,100.0,space_in_word,471
2009,1,PL1,8,8,100.0,typo_spacing,8
2008,12,PL1,6,6,100.0,space_in_word,6
2008,11,PL1,7,7,100.0,space_in_word,7
2008,10,PL1,9,9,100.0,typo_spacing,9
2008,9,PL1,9,9,100.0,typo_spacing,9
2008,8,PL1,14,14,100.0,typo_spacing,14
2008,7,PL1,11,11,100.0,typo_spacing,11
2008,6,PL1,13,13,100.0,typo_spacing,13
2011,11,PL11,350,349,99.71,typo_spacing,267
2010,3,PL5,35,21,60.0,only_numbers,14
