year,month,location_name,sector,commodity,attribute,source_file,appendix_number,error_type,error_detail,impacted_value,record_id
2009,2,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_02.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(933.6), np.float64(933.587)]",933.587,a0e1b2c3-d4e5-4f6a-7b8c-9d0e1f2a3b4c
2009,2,Miền Bắc,Cultivation,Lúa,Area_Planted,2010_02_PhuLuc_T02_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(933.6), np.float64(933.587)]",933.6,524404f0-4db4-4ec3-92d2-665fdd450303
2009,2,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.5,a6b7c8d9-e0f1-2a3b-4c5d-6e7f8a9b0c1d
2009,2,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.5,b7c8d9e0-f1a2-3b4c-5d6e-7f8a9b0c1d2e
2009,2,Miền Nam,Cultivation,Lúa,Area_Harvested,agricultural_report_2009_02.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.48,a0e0e0e0-e0e0-4e0e-8e0e-0e0e0e0e0e02
2009,2,Miền Nam,Cultivation,Lúa,Area_Harvested,2010_02_PhuLuc_T02_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.5,6a586043-47b4-4887-badc-06781826d56a
2009,2,Miền Nam,Cultivation,Lúa,Area_Planted,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1840.3), np.float64(1840.325)]",1840.3,e4f5a6b7-c8d9-0e1f-2a3b-4c5d6e7f8a9b
2009,2,Miền Nam,Cultivation,Lúa,Area_Planted,agricultural_report_2009_02.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1840.3), np.float64(1840.325)]",1840.325,a0e0e0e0-e0e0-4e0e-8e0e-0e0e0e0e0e01
2009,2,Miền Nam,Cultivation,Lúa,Area_Planted,2010_02_PhuLuc_T02_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1840.3), np.float64(1840.325)]",1840.3,2a454d3e-7f30-43b1-bb29-9b7ce12e98e8
2009,2,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Harvested,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.5,c8d9e0f1-a2b3-4c5d-6e7f-8a9b0c1d2e3f
2009,2,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Harvested,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.5,d9e0f1a2-b3c4-5d6e-7f8a-9b0c1d2e3f4a
2009,2,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Harvested,agricultural_report_2009_02.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.48,a0e0e0e0-e0e0-4e0e-8e0e-0e0e0e0e0e92
2009,2,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Harvested,2010_02_PhuLuc_T02_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(286.5), np.float64(286.48)]",286.5,77927459-ae89-4cff-a118-8ec9198e5267
2009,2,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Planted,2009_02_PHULUC_t02_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1508.5), np.float64(1508.533)]",1508.5,f5a6b7c8-d9e0-1f2a-3b4c-5d6e7f8a9b0c
2009,2,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Planted,agricultural_report_2009_02.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1508.5), np.float64(1508.533)]",1508.533,a0e0e0e0-e0e0-4e0e-8e0e-0e0e0e0e0e91
2009,2,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Planted,2010_02_PhuLuc_T02_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1508.5), np.float64(1508.533)]",1508.5,2fcf37ae-9499-4197-b96a-bc426f61de0a
2009,2,Đồng bằng sông Hồng,Cultivation,Lúa,Area_Planted,2009_02.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(446.99), np.float64(447.0)]",446.99,b7c8d9e0-f1a2-3b4c-5d6e-7f8a9b0c1d2e
2009,2,Đồng bằng sông Hồng,Cultivation,Lúa,Area_Planted,2010_02_PhuLuc_T02_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(446.99), np.float64(447.0)]",447.0,aeef0c3a-5ea7-4b23-99d6-40b190f2dbc0
2009,3,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1097.6), np.float64(1097.635)]",1097.6,08eab09f-0d40-4093-8c1c-025dd84ac00f
2009,3,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_03_PHULUC_T03_2009_FINAL_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1097.6), np.float64(1097.635)]",1097.635,2c7d00f3-04be-4328-8373-6d99f2ce290d
2009,3,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(796.2), np.float64(796.171)]",796.2,4ce61078-887f-40d1-a3ca-c6313253e064
2009,3,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_03_PHULUC_T03_2009_FINAL_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(796.2), np.float64(796.171)]",796.171,6627164d-13f0-463c-abf8-53aab52d1d65
2009,3,Miền Nam,Cultivation,Lúa,Area_Planted,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1883.4), np.float64(1883.381)]",1883.4,d1246b50-c502-4ac6-9129-31fb66b79c7c
2009,3,Miền Nam,Cultivation,Lúa,Area_Planted,2009_03_PHULUC_T03_2009_FINAL_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1883.4), np.float64(1883.381)]",1883.381,f186877d-b8c5-4630-b64f-57ce4539726d
2009,3,Đồng bằng sông Hồng,Cultivation,Lúa,Area_Planted,2009_03_PHULUC_T03_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(553.6), np.float64(553.631)]",553.6,20bf6421-19a7-4594-af2c-a49f0dcdf01e
2009,3,Đồng bằng sông Hồng,Cultivation,Lúa,Area_Planted,2009_03_PHULUC_T03_2009_FINAL_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(553.6), np.float64(553.631)]",553.631,d02bba8a-2487-4a60-999e-38636791199e
2009,4,Miền Nam,Cultivation,Lúa,Area_Planted,2009_04_PHULUC_T04_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(441.2), np.float64(441.221)]",441.2,42510171-430a-40ad-9479-b3fcd7e17558
2009,4,Miền Nam,Cultivation,Lúa,Area_Planted,2009_04_PHULUC_T04_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(441.2), np.float64(441.221)]",441.221,8abae20b-b74b-411f-8929-02b3e85d0117
2009,4,Miền Nam,Cultivation,Lúa,Area_Planted,2010_04_Phuluc_T04_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(441.2), np.float64(441.221)]",441.2,78324b16-aafa-4237-8d6e-17e1b364475f
2009,4,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_04_PHULUC_T04_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1653.2), np.float64(1653.19)]",1653.2,38b7b18f-9639-4982-a25b-7d6a428fb80b
2009,4,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_04_PHULUC_T04_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1653.2), np.float64(1653.19)]",1653.19,2d561467-a033-4f16-9ca0-7b7a914b6e73
2009,4,Miền Nam,Cultivation,Lúa,Area_Harvested,2010_04_Phuluc_T04_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1653.2), np.float64(1653.19)]",1653.2,c619ab1b-50c9-463a-bd69-4b7bf7c8e5e9
2009,4,Thái Bình,Cultivation,Màu lương thực,Area_Planted,2009_04_PHULUC_T04_2009_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1.0), np.float64(10.505)]",1.0,edee82fa-bb28-40b0-a664-526be1838c87
2009,4,Thái Bình,Cultivation,Màu lương thực,Area_Planted,2009_04_PHULUC_T04_2009_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1.0), np.float64(10.505)]",10.505,e395ee1f-feeb-49dd-ba25-1a042739d92d
2009,5,Miền Nam,Cultivation,Lúa,Area_Planted,2009_05_PHULUC_T05_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1344.6), np.float64(1344.584)]",1344.6,18d416e7-05bf-40b5-bfd7-7ee2bc9620b7
2009,5,Miền Nam,Cultivation,Lúa,Area_Planted,2009_05_PHULUC_T05_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1344.6), np.float64(1344.584)]",1344.584,70d34dad-54c9-4388-a012-f5576922d43c
2009,5,Miền Nam,Cultivation,Lúa,Area_Planted,2010_05_PHULUC_T05_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1344.6), np.float64(1344.584)]",1344.6,eb047abb-092f-402c-8943-370183bd411e
2009,5,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_05_PHULUC_T05_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1844.1), np.float64(1844.115)]",1844.1,a4ddba06-f733-4d8c-85e7-1a94eda51605
2009,5,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_05_PHULUC_T05_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1844.1), np.float64(1844.115)]",1844.115,dbc55c40-b660-4715-a7ca-57b7db931418
2009,5,Miền Nam,Cultivation,Lúa,Area_Harvested,2010_05_PHULUC_T05_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1844.1), np.float64(1844.115)]",1844.1,c5576e01-53dd-45c4-8a36-f2187f2419e4
2009,5,Tây Nguyên,Cultivation,Lúa,Area_Harvested,2009_05_PHULUC_T05_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(50.7), np.float64(50.721)]",50.7,6ea6cc20-e920-497d-a1fc-8ce360556dc7
2009,5,Tây Nguyên,Cultivation,Lúa,Area_Harvested,2009_05_PHULUC_T05_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(50.7), np.float64(50.721)]",50.721,454d7139-dab3-4b51-a182-6211177d934e
2009,5,Tây Nguyên,Cultivation,Lúa,Area_Harvested,2010_05_PHULUC_T05_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(50.7), np.float64(50.721)]",50.7,d6047555-dee5-41d0-9d06-cc6837b1ad45
2009,5,Đông Nam Bộ,Cultivation,Lúa,Area_Harvested,2009_05_PHULUC_T05_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(89.918), np.float64(89.9)]",89.918,ee888a74-5cb0-423a-8f8a-d03fed9d0293
2009,5,Đông Nam Bộ,Cultivation,Lúa,Area_Harvested,2010_05_PHULUC_T05_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(89.918), np.float64(89.9)]",89.9,c595179b-af78-4522-9bf1-b98448e97056
2009,6,Miền Nam,Cultivation,Lúa,Area_Planted,2009_06_PHULUC_T06_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1887.2), np.float64(1887.17)]",1887.2,94360eeb-73fc-44e0-b96d-d0d57610bcb8
2009,6,Miền Nam,Cultivation,Lúa,Area_Planted,2009_06_PHULUC_T06_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1887.2), np.float64(1887.17)]",1887.17,f0b7097a-2dcb-458f-944e-e59039488f1a
2009,6,Miền Nam,Cultivation,Lúa,Area_Planted,2010_06_Phuluc_06_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1887.2), np.float64(1887.17)]",1887.2,1e4e1e31-5647-4797-b4b9-2761ea219c71
2009,7,Cả nước,Cultivation,Lúa,Area_Planted,2009_07_PHULUC_T07_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1140.7), np.float64(450.4), np.float64(212.9)]",1140.7,687fcdc2-5bf8-41c6-972f-bba6e65304c1
2009,7,Cả nước,Cultivation,Lúa,Area_Planted,2010_07_phuluc_07_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1140.7), np.float64(450.4), np.float64(212.9)]",1140.7,f73f4e1a-997f-420e-87d2-030a061888de
2009,7,Cả nước,Cultivation,Lúa,Area_Planted,2010_07_phuluc_07_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1140.7), np.float64(450.4), np.float64(212.9)]",450.4,da06fc79-9f6f-44ec-a9f7-1992515b8dd5
2009,7,Cả nước,Cultivation,Lúa,Area_Planted,2010_07_phuluc_07_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1140.7), np.float64(450.4), np.float64(212.9)]",212.9,e7cf270b-9aa7-40d2-8b88-910fcc8fb8b2
2009,7,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_07_PHULUC_T07_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(927.8), np.float64(927.75)]",927.8,3d3bf019-7058-4d11-b963-c3e8271de3ee
2009,7,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_07_PHULUC_T07_2009_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(927.8), np.float64(927.75)]",927.75,962a1d17-364d-4138-9b68-d6a13b0af8d5
2009,7,Miền Bắc,Cultivation,Lúa,Area_Planted,2010_07_phuluc_07_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(927.8), np.float64(927.75)]",927.8,2dbad442-c1fe-456a-840a-37d78228ede8
2009,7,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_07_PHULUC_T07_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(578.1), np.float64(578.121)]",578.1,2249b691-ec87-44ba-a3be-f30296b01785
2009,7,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_07_PHULUC_T07_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(578.1), np.float64(578.121)]",578.121,e31f1c8b-cdf1-4340-a71b-824f43ba97a5
2009,7,Miền Nam,Cultivation,Lúa,Area_Harvested,2010_07_phuluc_07_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(578.1), np.float64(578.121)]",578.1,17c03316-357e-40e3-8eba-3a8ee240a3f8
2009,7,Miền Nam,Cultivation,Lúa,Area_Planted,2009_07_PHULUC_T07_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(212.9), np.float64(212.93)]",212.9,36b7b933-b753-48ef-8aef-32dee105ba9c
2009,7,Miền Nam,Cultivation,Lúa,Area_Planted,2009_07_PHULUC_T07_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(212.9), np.float64(212.93)]",212.93,27ad92ab-a7d5-410c-81ec-24f066886ab5
2009,7,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Planted,2009_07_PHULUC_T07_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(63.7), np.float64(115.6)]",63.7,ea3ff3a9-4289-4fb0-9d05-fb554e58fbcb
2009,7,Đồng bằng sông Cửu Long,Cultivation,Lúa,Area_Planted,2010_07_phuluc_07_2010_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(63.7), np.float64(115.6)]",115.6,4125a6c4-d19b-414f-9037-a5f8000f9543
2009,8,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_08_PHULUC_T08_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1170.6), np.float64(1170.558)]",1170.6,f3d96037-8bca-4c0f-9861-e9721d7cabb3
2009,8,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_08_PHULUC_T08_2009_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1170.6), np.float64(1170.558)]",1170.558,6fdcaf6e-9a7e-49e2-9dbf-6d5b5728a118
2009,8,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_08_PHULUC_T08_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1223.8), np.float64(1223.786)]",1223.8,bbe8c672-d84b-47e2-9c01-0a484f49cec8
2009,8,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_08_PHULUC_T08_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1223.8), np.float64(1223.786)]",1223.786,80ea9dfc-4a0c-4559-8e25-929de8336f56
2009,8,Miền Nam,Cultivation,Lúa,Area_Planted,2009_08_PHULUC_T08_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(293.7), np.float64(293.654)]",293.7,cab8d02b-ac85-4187-a581-9339792368ec
2009,8,Miền Nam,Cultivation,Lúa,Area_Planted,2009_08_PHULUC_T08_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(293.7), np.float64(293.654)]",293.654,8515d8e8-6a59-4941-ab70-f8cb061ec725
2009,9,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_09_PHULUC_T09_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1237.2), np.float64(1237.209)]",1237.2,f1d15947-5b76-4ebb-bf71-3c8a8eaa2a54
2009,9,Miền Bắc,Cultivation,Lúa,Area_Planted,2009_09_PHULUC_T09_2009_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1237.2), np.float64(1237.209)]",1237.209,9c36ff78-a933-4fb4-ac9b-68b2728335a2
2009,9,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_09_PHULUC_T09_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1785.6), np.float64(1785.648)]",1785.6,7e457803-6645-4007-935c-2d1a6d7dbe54
2009,9,Miền Nam,Cultivation,Lúa,Area_Harvested,2009_09_PHULUC_T09_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(1785.6), np.float64(1785.648)]",1785.648,a4805239-da79-4744-a1e8-559445c9ca34
2009,9,Miền Nam,Cultivation,Lúa,Area_Planted,2009_09_PHULUC_T09_2009_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(491.6), np.float64(491.617)]",491.6,6b1b9cca-8b74-491d-9329-83aad5c308a9
2009,9,Miền Nam,Cultivation,Lúa,Area_Planted,2009_09_PHULUC_T09_2009_PL4.md,PL4,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(491.6), np.float64(491.617)]",491.617,82be0876-7279-4558-ac2c-09cef8c87356
2009,10,Bắc Trung Bộ,Cultivation,Lúa,Area_Harvested,2009_10_PHULUC_T10_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(155.8), np.float64(155.836)]",155.8,825a7413-8563-4b61-bb7f-aeb5af9c1192
2009,10,Bắc Trung Bộ,Cultivation,Lúa,Area_Harvested,2009_10_PHULUC_T10_2009_FINAL_PL2.md,PL2,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(155.8), np.float64(155.836)]",155.836,a8b2e4be-22d7-41ce-999a-14983fc13943
2009,10,Miền Bắc,Cultivation,Cây vụ đông,Area_Planted,2009_10_PHULUC_T10_2009_FINAL_PL1.md,PL1,VALUE_CONFLICT,"Matched keys but found multiple values: [np.float64(331.7), np.float64(331.728)]",331.7,7e16d13e-30ee-4077-87b4-af7664633204
