record_id,geo_context_geo_level,geo_context_location_name,item_context_sector,item_context_commodity,metric_context_attribute,metric_context_value,metric_context_unit,metric_context_data_type,metadata_source_file,metadata_appendix_number,metadata_extraction_confidence,metadata_extraction_timestamp,comparison_context_comparison_type,comparison_context_comparison_value
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Lâm nghiệp,Investment_Amount,4200.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080669,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Lâm nghiệp,Investment_Amount,9000.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080671,vs_Plan,3.91
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ sản,Investment_Amount,24000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080672,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ sản,Investment_Amount,1150.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080674,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ sản,Investment_Amount,1000.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080675,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Đầu tư Thuỷ sản,Investment_Amount,2150.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080677,vs_Plan,8.96
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Khoa học - Công nghệ,Investment_Amount,230000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080679,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Khoa học - Công nghệ,Investment_Amount,6000.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080680,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Khoa học - Công nghệ,Investment_Amount,5500.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080682,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Khoa học - Công nghệ,Investment_Amount,11500.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080683,vs_Plan,5.0
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Giáo dục - Đào tạo,Investment_Amount,90000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080685,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Giáo dục - Đào tạo,Investment_Amount,4950.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080686,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Giáo dục - Đào tạo,Investment_Amount,4250.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080688,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Giáo dục - Đào tạo,Investment_Amount,9200.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080690,vs_Plan,10.22
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Các ngành khác,Investment_Amount,61000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080691,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Các ngành khác,Investment_Amount,1000.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080693,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Các ngành khác,Investment_Amount,1200.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080694,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Các ngành khác,Investment_Amount,2200.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080696,vs_Plan,3.61
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Chương trình mục tiêu,Investment_Amount,40263.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080698,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Chương trình mục tiêu,Investment_Amount,1550.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080699,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Chương trình mục tiêu,Investment_Amount,1500.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080701,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Chương trình mục tiêu,Investment_Amount,3050.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080702,vs_Plan,7.58
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn đầu tư theo các mục tiêu nhiệm vụ cụ thể,Investment_Amount,208000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080704,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn đầu tư theo các mục tiêu nhiệm vụ cụ thể,Investment_Amount,150.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080705,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn đầu tư theo các mục tiêu nhiệm vụ cụ thể,Investment_Amount,100.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080707,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn đầu tư theo các mục tiêu nhiệm vụ cụ thể,Investment_Amount,250.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080708,vs_Plan,0.12
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Bổ sung dự trữ Quốc gia,Investment_Amount,65000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080710,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Bổ sung dự trữ Quốc gia,Investment_Amount,0.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080711,vs_Plan,0.0
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn chuẩn bị đầu tư,Investment_Amount,30000.0,million_VND,Plan,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080713,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn chuẩn bị đầu tư,Investment_Amount,1500.0,million_VND,Actual,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080714,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn chuẩn bị đầu tư,Investment_Amount,1150.0,million_VND,Estimated,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080716,,
xxxx,National,Bộ Nông nghiệp & PTNT,Investment,Vốn chuẩn bị đầu tư,Investment_Amount,2650.0,million_VND,Cumulative,2009_02_PHULUC_t02_2009_FINAL_PL9.md,PL9,0.9,2026-02-04T23:26:23.080718,vs_Plan,8.83
