record_id,year,month,geo_level,location_name,region_id,sector,commodity,sub_item,attribute,value,unit,data_type,source_file
200902_Thái Bình_NGO_AREA,2009,2,Provincial,Thái Bình,Red_River_Delta,Cultivation,Ngô,,Area,2.44,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Ninh Bình_LUA_AREA,2009,2,Provincial,Ninh Bình,Red_River_Delta,Cultivation,Lúa,,Area,37.956,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Ninh Bình_NGO_AREA,2009,2,Provincial,Ninh Bình,Red_River_Delta,Cultivation,Ngô,,Area,1.275,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hà Giang_LUA_AREA,2009,2,Provincial,Hà Giang,Northeast,Cultivation,Lúa,,Area,5.899,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hà Giang_NGO_AREA,2009,2,Provincial,Hà Giang,Northeast,Cultivation,Ngô,,Area,7.544,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Cao Bằng_LUA_AREA,2009,2,Provincial,Cao Bằng,Northeast,Cultivation,Lúa,,Area,47.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Cao Bằng_NGO_AREA,2009,2,Provincial,Cao Bằng,Northeast,Cultivation,Ngô,,Area,755.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Lào Cai_LUA_AREA,2009,2,Provincial,Lào Cai,Northeast,Cultivation,Lúa,,Area,127.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Lào Cai_NGO_AREA,2009,2,Provincial,Lào Cai,Northeast,Cultivation,Ngô,,Area,14.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Bắc Cạn_LUA_AREA,2009,2,Provincial,Bắc Cạn,Northeast,Cultivation,Lúa,,Area,1.75,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Bắc Cạn_NGO_AREA,2009,2,Provincial,Bắc Cạn,Northeast,Cultivation,Ngô,,Area,2.85,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Lạng Sơn_NGO_AREA,2009,2,Provincial,Lạng Sơn,Northeast,Cultivation,Ngô,,Area,145.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Tuyên Quang_LUA_AREA,2009,2,Provincial,Tuyên Quang,Northeast,Cultivation,Lúa,,Area,16.929,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Tuyên Quang_NGO_AREA,2009,2,Provincial,Tuyên Quang,Northeast,Cultivation,Ngô,,Area,3.104,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Yên Bái_LUA_AREA,2009,2,Provincial,Yên Bái,Northeast,Cultivation,Lúa,,Area,15.704,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Yên Bái_NGO_AREA,2009,2,Provincial,Yên Bái,Northeast,Cultivation,Ngô,,Area,1.24,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Thái Nguyên_LUA_AREA,2009,2,Provincial,Thái Nguyên,Northeast,Cultivation,Lúa,,Area,22.571,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Thái Nguyên_NGO_AREA,2009,2,Provincial,Thái Nguyên,Northeast,Cultivation,Ngô,,Area,620.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Phú Thọ_LUA_AREA,2009,2,Provincial,Phú Thọ,Northeast,Cultivation,Lúa,,Area,33.556,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Phú Thọ_NGO_AREA,2009,2,Provincial,Phú Thọ,Northeast,Cultivation,Ngô,,Area,2.503,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Bắc Giang_LUA_AREA,2009,2,Provincial,Bắc Giang,Northeast,Cultivation,Lúa,,Area,35.062,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Bắc Giang_NGO_AREA,2009,2,Provincial,Bắc Giang,Northeast,Cultivation,Ngô,,Area,167.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Quảng Ninh_LUA_AREA,2009,2,Provincial,Quảng Ninh,Northeast,Cultivation,Lúa,,Area,9.3,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Quảng Ninh_NGO_AREA,2009,2,Provincial,Quảng Ninh,Northeast,Cultivation,Ngô,,Area,1.707,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Lai Châu_LUA_AREA,2009,2,Provincial,Lai Châu,Northwest,Cultivation,Lúa,,Area,4.187,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Lai Châu_NGO_AREA,2009,2,Provincial,Lai Châu,Northwest,Cultivation,Ngô,,Area,374.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Điện Biên_LUA_AREA,2009,2,Provincial,Điện Biên,Northwest,Cultivation,Lúa,,Area,5.844,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Sơn La_LUA_AREA,2009,2,Provincial,Sơn La,Northwest,Cultivation,Lúa,,Area,1.155,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hoà Bình_LUA_AREA,2009,2,Provincial,Hoà Bình,Northwest,Cultivation,Lúa,,Area,13.263,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hoà Bình_NGO_AREA,2009,2,Provincial,Hoà Bình,Northwest,Cultivation,Ngô,,Area,3.68,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Thanh Hoá_LUA_AREA,2009,2,Provincial,Thanh Hoá,North_Central,Cultivation,Lúa,,Area,119.149,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Thanh Hoá_NGO_AREA,2009,2,Provincial,Thanh Hoá,North_Central,Cultivation,Ngô,,Area,29.736,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Nghệ An_LUA_AREA,2009,2,Provincial,Nghệ An,North_Central,Cultivation,Lúa,,Area,84.4,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Nghệ An_NGO_AREA,2009,2,Provincial,Nghệ An,North_Central,Cultivation,Ngô,,Area,11.5,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hà Tĩnh_LUA_AREA,2009,2,Provincial,Hà Tĩnh,North_Central,Cultivation,Lúa,,Area,41.353,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Quảng Bình_LUA_AREA,2009,2,Provincial,Quảng Bình,North_Central,Cultivation,Lúa,,Area,27.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Quảng Bình_NGO_AREA,2009,2,Provincial,Quảng Bình,North_Central,Cultivation,Ngô,,Area,45.036,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Quảng Trị_LUA_AREA,2009,2,Provincial,Quảng Trị,North_Central,Cultivation,Lúa,,Area,23.504,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Quảng Trị_NGO_AREA,2009,2,Provincial,Quảng Trị,North_Central,Cultivation,Ngô,,Area,1.8,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Thừa Thiên Huế_LUA_AREA,2009,2,Provincial,Thừa Thiên Huế,North_Central,Cultivation,Lúa,,Area,25.797,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Thừa Thiên Huế_NGO_AREA,2009,2,Provincial,Thừa Thiên Huế,North_Central,Cultivation,Ngô,,Area,1.753,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL2.md
200902_Hà Nội_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Hà Nội,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,31.129,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hà Nội_RAU_DAU_AREA,2009,2,Provincial,Hà Nội,Red_River_Delta,Cultivation,Rau đậu,,Area,10.351,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hải Phòng_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Hải Phòng,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,2.361,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hải Phòng_RAU_DAU_AREA,2009,2,Provincial,Hải Phòng,Red_River_Delta,Cultivation,Rau đậu,,Area,347.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Vĩnh Phúc_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Vĩnh Phúc,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,8.242,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Vĩnh Phúc_RAU_DAU_AREA,2009,2,Provincial,Vĩnh Phúc,Red_River_Delta,Cultivation,Rau đậu,,Area,3.412,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Bắc Ninh_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Bắc Ninh,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,2.16,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Bắc Ninh_RAU_DAU_AREA,2009,2,Provincial,Bắc Ninh,Red_River_Delta,Cultivation,Rau đậu,,Area,4.098,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hưng Yên_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Hưng Yên,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,3.446,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hưng Yên_RAU_DAU_AREA,2009,2,Provincial,Hưng Yên,Red_River_Delta,Cultivation,Rau đậu,,Area,8.725,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hà Nam_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Hà Nam,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,638.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hà Nam_RAU_DAU_AREA,2009,2,Provincial,Hà Nam,Red_River_Delta,Cultivation,Rau đậu,,Area,2.531,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Nam Định_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Nam Định,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,6.697,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Nam Định_RAU_DAU_AREA,2009,2,Provincial,Nam Định,Red_River_Delta,Cultivation,Rau đậu,,Area,7.883,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Thái Bình_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Thái Bình,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,8.412,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Thái Bình_RAU_DAU_AREA,2009,2,Provincial,Thái Bình,Red_River_Delta,Cultivation,Rau đậu,,Area,15.438,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Ninh Bình_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Ninh Bình,Red_River_Delta,Cultivation,Cây công nghiệp ngắn ngày,,Area,6.475,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Ninh Bình_RAU_DAU_AREA,2009,2,Provincial,Ninh Bình,Red_River_Delta,Cultivation,Rau đậu,,Area,4.2,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hà Giang_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Hà Giang,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,5.664,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hà Giang_RAU_DAU_AREA,2009,2,Provincial,Hà Giang,Northeast,Cultivation,Rau đậu,,Area,3.12,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Cao Bằng_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Cao Bằng,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,7.508,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Cao Bằng_RAU_DAU_AREA,2009,2,Provincial,Cao Bằng,Northeast,Cultivation,Rau đậu,,Area,1.545,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Lào Cai_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Lào Cai,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,386.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Lào Cai_RAU_DAU_AREA,2009,2,Provincial,Lào Cai,Northeast,Cultivation,Rau đậu,,Area,2.014,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Bắc Cạn_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Bắc Cạn,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,1.533,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Bắc Cạn_RAU_DAU_AREA,2009,2,Provincial,Bắc Cạn,Northeast,Cultivation,Rau đậu,,Area,350.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Lạng Sơn_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Lạng Sơn,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,350.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Lạng Sơn_RAU_DAU_AREA,2009,2,Provincial,Lạng Sơn,Northeast,Cultivation,Rau đậu,,Area,4.633,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Tuyên Quang_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Tuyên Quang,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,2.718,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Tuyên Quang_RAU_DAU_AREA,2009,2,Provincial,Tuyên Quang,Northeast,Cultivation,Rau đậu,,Area,2.221,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Yên Bái_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Yên Bái,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,1.011,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Yên Bái_RAU_DAU_AREA,2009,2,Provincial,Yên Bái,Northeast,Cultivation,Rau đậu,,Area,2.293,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Thái Nguyên_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Thái Nguyên,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,1.873,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Thái Nguyên_RAU_DAU_AREA,2009,2,Provincial,Thái Nguyên,Northeast,Cultivation,Rau đậu,,Area,33.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Phú Thọ_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Phú Thọ,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,3.618,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Phú Thọ_RAU_DAU_AREA,2009,2,Provincial,Phú Thọ,Northeast,Cultivation,Rau đậu,,Area,3.837,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Bắc Giang_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Bắc Giang,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,6.081,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Bắc Giang_RAU_DAU_AREA,2009,2,Provincial,Bắc Giang,Northeast,Cultivation,Rau đậu,,Area,11.22,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Quảng Ninh_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Quảng Ninh,Northeast,Cultivation,Cây công nghiệp ngắn ngày,,Area,693.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Quảng Ninh_RAU_DAU_AREA,2009,2,Provincial,Quảng Ninh,Northeast,Cultivation,Rau đậu,,Area,2.055,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Lai Châu_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Lai Châu,Northwest,Cultivation,Cây công nghiệp ngắn ngày,,Area,1.314,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Lai Châu_RAU_DAU_AREA,2009,2,Provincial,Lai Châu,Northwest,Cultivation,Rau đậu,,Area,57.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Sơn La_RAU_DAU_AREA,2009,2,Provincial,Sơn La,Northwest,Cultivation,Rau đậu,,Area,1.52,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hoà Bình_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Hoà Bình,Northwest,Cultivation,Cây công nghiệp ngắn ngày,,Area,5.304,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Hoà Bình_RAU_DAU_AREA,2009,2,Provincial,Hoà Bình,Northwest,Cultivation,Rau đậu,,Area,1.66,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Thanh Hoá_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Thanh Hoá,North_Central,Cultivation,Cây công nghiệp ngắn ngày,,Area,18.822,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Thanh Hoá_RAU_DAU_AREA,2009,2,Provincial,Thanh Hoá,North_Central,Cultivation,Rau đậu,,Area,20.475,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Nghệ An_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Nghệ An,North_Central,Cultivation,Cây công nghiệp ngắn ngày,,Area,22.5,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Nghệ An_RAU_DAU_AREA,2009,2,Provincial,Nghệ An,North_Central,Cultivation,Rau đậu,,Area,9.136,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Quảng Bình_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Quảng Bình,North_Central,Cultivation,Cây công nghiệp ngắn ngày,,Area,4.95,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Quảng Bình_RAU_DAU_AREA,2009,2,Provincial,Quảng Bình,North_Central,Cultivation,Rau đậu,,Area,586.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Quảng Trị_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Quảng Trị,North_Central,Cultivation,Cây công nghiệp ngắn ngày,,Area,4.7,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Quảng Trị_RAU_DAU_AREA,2009,2,Provincial,Quảng Trị,North_Central,Cultivation,Rau đậu,,Area,2.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_Thừa Thiên Huế_CAY_CN_NGAN_NGAY_AREA,2009,2,Provincial,Thừa Thiên Huế,North_Central,Cultivation,Cây công nghiệp ngắn ngày,,Area,3.741,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL3.md
200902_TP Đà Nẵng_LUA_AREA,2009,2,Provincial,TP Đà Nẵng,South_Central_Coast,Cultivation,Lúa,,Area,3.992,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_TP Đà Nẵng_NGO_AREA,2009,2,Provincial,TP Đà Nẵng,South_Central_Coast,Cultivation,Ngô,,Area,575.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Quảng Nam_LUA_AREA,2009,2,Provincial,Quảng Nam,South_Central_Coast,Cultivation,Lúa,,Area,40.8,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Quảng Ngãi_LUA_AREA,2009,2,Provincial,Quảng Ngãi,South_Central_Coast,Cultivation,Lúa,,Area,36.243,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Quảng Ngãi_NGO_AREA,2009,2,Provincial,Quảng Ngãi,South_Central_Coast,Cultivation,Ngô,,Area,3.701,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Bình Định_LUA_AREA,2009,2,Provincial,Bình Định,South_Central_Coast,Cultivation,Lúa,,Area,46.898,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Bình Định_NGO_AREA,2009,2,Provincial,Bình Định,South_Central_Coast,Cultivation,Ngô,,Area,9.693,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Phú Yên_LUA_AREA,2009,2,Provincial,Phú Yên,South_Central_Coast,Cultivation,Lúa,,Area,25.641,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Phú Yên_NGO_AREA,2009,2,Provincial,Phú Yên,South_Central_Coast,Cultivation,Ngô,,Area,2.384,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Khánh Hoà_LUA_AREA,2009,2,Provincial,Khánh Hoà,South_Central_Coast,Cultivation,Lúa,,Area,13.621,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Khánh Hoà_NGO_AREA,2009,2,Provincial,Khánh Hoà,South_Central_Coast,Cultivation,Ngô,,Area,400.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Kon Tum_LUA_AREA,2009,2,Provincial,Kon Tum,Central_Highlands,Cultivation,Lúa,,Area,6.775,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Kon Tum_NGO_AREA,2009,2,Provincial,Kon Tum,Central_Highlands,Cultivation,Ngô,,Area,398.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Gia Lai_LUA_AREA,2009,2,Provincial,Gia Lai,Central_Highlands,Cultivation,Lúa,,Area,22.972,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Gia Lai_NGO_AREA,2009,2,Provincial,Gia Lai,Central_Highlands,Cultivation,Ngô,,Area,8.124,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Đắc Lắc_LUA_AREA,2009,2,Provincial,Đắc Lắc,Central_Highlands,Cultivation,Lúa,,Area,23.435,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Đắc Nông_LUA_AREA,2009,2,Provincial,Đắc Nông,Central_Highlands,Cultivation,Lúa,,Area,3.539,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Đắc Nông_NGO_AREA,2009,2,Provincial,Đắc Nông,Central_Highlands,Cultivation,Ngô,,Area,3.231,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Lâm Đồng_LUA_AREA,2009,2,Provincial,Lâm Đồng,Central_Highlands,Cultivation,Lúa,,Area,9.642,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_Lâm Đồng_NGO_AREA,2009,2,Provincial,Lâm Đồng,Central_Highlands,Cultivation,Ngô,,Area,694.0,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_TP Hồ Chí Minh_LUA_AREA,2009,2,Provincial,TP Hồ Chí Minh,Southeast,Cultivation,Lúa,,Area,5.987,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
200902_TP Hồ Chí Minh_NGO_AREA,2009,2,Provincial,TP Hồ Chí Minh,Southeast,Cultivation,Ngô,,Area,1.029,ha,Actual,2009_02_PHULUC_t02_2009_FINAL_PL4.md
